,id,claim,text_embedding,label
0,0,"Εάν έχετε βηματοδότη, μπορείτε να το δωρίσετε σε ένα σκυλί αφού πεθάνετε.","[-0.00221018  0.0049072  -0.00764776 ...  0.00380131 -0.00024524
 -0.02229844]",1.0
1,1,Ο Mark Wahlberg θα συμμετάσχει στους μουσικούς Jason Aldean και Kid Rock σε περιοδεία.,"[-0.00126254 -0.02103188  0.00298161 ... -0.01447043 -0.01565426
  0.00663071]",4.0
2,2,"Η Disney και η Pixar ανακοίνωσαν ότι ένα remake της κινούμενης κλασικής ταινίας του 1988 ""The Land Before Time"" θα κυκλοφορήσει στις κινηματογραφικές αίθουσες τον Ιανουάριο του 2025.","[ 0.00490253 -0.02866291 -0.02166293 ...  0.01058921 -0.01243802
 -0.00970306]",4.0
3,3,Οι αυθεντικές φωτογραφίες δείχνουν ότι ο Taylor Swift ντυμένος με ρούχα που μοιάζουν με κούκλες για μια φωτογράφηση στο περιοδικό New York Times το 2009.,"[-0.01430677 -0.01439683 -0.00022957 ...  0.01820511 -0.00577996
 -0.01609511]",1.0
4,4,"Μια διαδικτυακή διαφήμιση ανέφερε με ακρίβεια ότι ""η πιο διάσημη μάρκα Burger της Αμερικής είναι τώρα κινεζική"".","[-0.01664499  0.01035527  0.00972168 ... -0.00124656 -0.01248044
 -0.01958855]",0.0
5,5,"Ένα άρθρο του Δεκεμβρίου του 2023 ισχυρίζεται με ακρίβεια ότι ο Mel Gibson απέρριψε έναν κινηματογραφικό ρόλο αξίας 35 εκατομμυρίων δολαρίων επειδή σκέφτηκε ότι ο διευθυντής Rob Reiner ήταν πάρα πολύ ""ξύπνησε"".","[-0.00505515 -0.01639191 -0.00599933 ... -0.00430239 -0.00406229
 -0.01839061]",4.0
6,6,Μια εικόνα που μοιράζεται στα κοινωνικά μέσα ενημέρωσης τον Δεκέμβριο του 2023 απεικονίζει πραγματικά τον ήλιο.,"[ 0.00603242 -0.00473976 -0.00610316 ...  0.02034815  0.00226537
 -0.02486282]",1.0
7,7,Μια εικόνα από τη δεκαετία του 1960 απεικονίζει αυθεντικά την προσωπικότητα της τηλεόρασης Bob Ross στο στρατό.,"[-0.01207785 -0.02455211 -0.00053948 ...  0.02120177 -0.00213392
 -0.01114436]",1.0
8,8,"Το ""πολυαναμενόμενο νέο show"" της Roseanne Barr ""έσπασε το αρχείο τηλεθεατών της ημέρας της"" The View "".","[-0.01567171 -0.02700114  0.02611952 ...  0.01390848 -0.02096141
 -0.02671165]",4.0
9,9,Μια ηλεκτρονική διαφήμιση που εμφανίστηκε τον Δεκέμβριο του 2023 δήλωσε ότι η αλυσίδα Burger Five Guys σχεδίαζε να κλείσει το 2024.,"[-0.00299797 -0.01428539 -0.00168083 ... -0.0055274   0.0171949
 -0.02264694]",0.0
10,10,"Ένα βίντεο που μοιράστηκε στο X δείχνει τον πρώην Δημοκρατικό προεδρικό υποψήφιο Χίλαρι Κλίντον που απειλεί οποιονδήποτε θα μπορούσε να επιδιώξει να «συνδέσει» τον σύζυγό της, τον πρώην πρόεδρο των ΗΠΑ Μπιλ Κλίντον, στον καταδικασθέντα σεξουαλικό δράστη Jeffrey Epstein.","[-0.00830801 -0.01829818 -0.00274794 ... -0.00615397 -0.02634938
 -0.0164491 ]",0.0
11,11,"Ένα βίντεο που μοιράστηκε στις 10 Δεκεμβρίου 2023, έδειξε ένα πλήθος που ψάλλει το ""F*CK Joe Biden"" κατά τη διάρκεια ενός ποδοσφαιρικού παιχνιδιού στρατού.","[-0.02613558 -0.02437262 -0.00650173 ... -0.01427098  0.01127266
 -0.0365718 ]",0.0
12,12,Μια εικόνα που μοιράστηκε στις αρχές Δεκεμβρίου του 2023 έδειξε αυθεντικά έναν στρατιώτη IDF προφανώς δείχνοντας ένα όπλο σε μια παλαιστινιακή μητέρα και δύο παιδιά.,"[-0.0143115  -0.00073843 -0.01739136 ...  0.00763411  0.00227385
 -0.00374497]",0.0
