,id,claim,text_embedding,label
0,1,Έχουν ήδη φύγει το δεύτερο εξάμηνο του 2019 από τα νησιά δώδεκα χιλιάδες ενενήντα πέντε άτομα,"[ 0.00122343 -0.01609462  0.01348119 ... -0.01336475 -0.01881156
 -0.009464  ]",1.0
1,2,"Το Μεταναστευτικό τώρα αποκτά μία νέα διάσταση, καθώς στις ροές προς την Ελλάδα περιλαμβάνονται άνθρωποι από το Ιράν -όπου είχαμε πολλά κρούσματα Κορωνοϊού- και πολλοί διερχόμενοι από το Αφγανιστάν. ","[ 0.0068224  -0.01053528  0.00368304 ...  0.0102104  -0.01352547
 -0.01507692]",0.0
2,3,"«Μας έκλεισαν μέσα και κυκλοφορούν παντού λαθρομετανάστες». (Η κυβέρνηση προχώρησε σε λοκντάουν, αλλά οι λαθρομετανάστες κυκλοφορούν παράνομα)","[ 0.01085074 -0.02195537 -0.00821823 ...  0.01325607 -0.00336079
 -0.01366364]",0.0
3,4,Μετανάστες στον Έβρο: «[Οι Τούρκοι] Μας έβγαλαν από τη φυλακή και μας έστειλαν στα σύνορα».,"[-0.00270627 -0.03142925 -0.00472573 ...  0.02560715 -0.01454264
 -0.00599222]",0.0
4,5,Έτοιμοι για «απόβαση» στη Λέσβο 150.000 μετανάστες και πρόσφυγες.,"[ 0.00496389  0.00946405 -0.00701476 ... -0.01626327 -0.01577995
 -0.02818967]",0.0
5,7,«Το 80-85% είναι πλέον οικονομικοί μετανάστες»,"[ 0.01150638  0.00185729  0.00769052 ...  0.00311182 -0.00137132
 -0.01962815]",0.0
6,12,"""Δ. Παπαδημούλης: '""Ο Μητσοτάκης θα πάρει 700 εκατ. ευρώ για το προσφυγικό / μεταναστευτικό'"" ""","[ 0.00260535 -0.0045553   0.00028187 ... -0.00553839 -0.02143977
 -0.01523625]",2.0
7,17,"""Tσίπρας: '""Πήραμε την πρωτοβουλία μαζί με τον Φρανσουά Ολάντ να ιδρύσουμε τη Σύνοδο των Χωρών του Νότου'""""","[ 0.01867148 -0.01539278 -0.01271319 ...  0.01730206 -0.0218185
 -0.01956686]",0.0
8,22,"Το πρόγραμμα βοήθειας με μετρητά «cash assistance» αποτελεί μέρος της ανθρωπιστικής βοήθειας που παρέχεται από διαφορετικούς οργανισμούς στην Ελλάδα. Αυτή η βοήθεια ΔΕΝ παρέχεται ούτε χρηματοδοτείται από την κυβέρνηση της Ελλάδας. Εντούτοις, συντονίζεται μεταξύ της ελληνικής κυβέρνησης από το Ταμείο Ασύλου, Μετανάστευσης και Ένταξης της Ευρωπαϊκής Ένωσης (AMIF).","[-0.00876087 -0.01625987 -0.00676947 ... -0.00967442 -0.01862589
 -0.02038727]",1.0
9,24,Το ποσό των 5.000 ευρώ έκαστος καλούνται να πληρώσουν δύο Παλαιστίνιοι πρόσφυγες που ζουν στον καταυλισμό της ΒΙΑΛ των 6.000 κατοίκων,"[ 0.00798293 -0.00313282  0.00341125 ... -0.00844977 -0.00963021
 -0.01656609]",2.0
10,27,Υγειονομική βόμβα δεν είναι ούτε οι τσιγγάνοι ούτε οι πρόσφυγες,"[-0.00029999 -0.00488628  0.00467174 ... -0.01342285 -0.00036683
 -0.01347409]",0.0
11,30,Εξιχνιάστηκε από την Ασφάλεια Μυτιλήνης η υπόθεση του «τυφλού» πυροβολισμού εναντίον τεσσάρων μεταναστών το βράδυ της Τετάρτης κοντά στη Μόρια της Λέσβου και συνελήφθη ένας 55χρονος Έλληνας ,"[ 0.00611778  0.0006664  -0.02299508 ... -0.00815704 -0.01854108
 -0.00809877]",2.0
12,31,Τέλος η καραντίνα για 152 πρόσφυγες στη Μυτιλήνη,"[ 0.01229051  0.0086313  -0.02174725 ...  0.01932944 -0.01822453
 -0.01997939]",1.0
13,32,"""Οι '""λαθρομετανάστες'"" στη Μόρια κλέβουν σκυλιά και τα τρώνε""","[-0.00922678 -0.01877471 -0.00074018 ...  0.00104044 -0.01110692
 -0.00809601]",0.0
