,id,claim,text_embedding,label
0,0,"Βίντεο αποκαλύπτει ότι ο Ουκρανός πρόεδρος Βολοντίμιρ Ζελένσκι αγόρασε πρόσφατα δύο υπερπολυτελή γιοτ αξίας 75 εκατομμυρίων δολαρίων, μέσω πληρεξούσιου, με χρήματα που προέρχονται από την οικονομική βοήθεια των ΗΠΑ και της ΕΕ.","[-0.00163433 -0.0206854  -0.00915954 ... -0.0026106  -0.00234971
 -0.01641804]",0
1,1,"Βίντεο δείχνει Παλαιστίνιους να εξαπατούν τα διεθνή μέσα ενημέρωσης και την κοινή γνώμη προσποιούμενοι τραυματισμούς και απομακρύνοντας «τραυματίες» πολίτες μπροστά στις κάμερες.
","[-0.01206205 -0.00166013  0.02133588 ...  0.00243969 -0.02468982
 -0.02571351]",0
2,2,Βίντεο δείχνει τη στιγμή της ανατίναξης του κοινοβουλίου της Χαμάς στη Γάζα.,"[-0.00255714 -0.00229685 -0.01386948 ... -0.00581496  0.00578222
 -0.00929216]",0
3,3,"Λόγω του μειωμένου πληθυσμού στα Αντικύθηρα, ανακοινώθηκε πρόγραμμα επιδότησης για να μετακομίσουν και να εγκατασταθούν οικογένειες από το Πακιστάν, με δωρεάν σπίτι, κομμάτι καλλιεργήσιμης γης, χωρίς φόρους και με 500€ μισθό.
","[ 0.01474682  0.00052274 -0.01562864 ... -0.01545228 -0.02062113
 -0.02220841]",0
4,4,"Βίντεο απεικονίζει τον ισραηλινό δημοσιογράφο Εφραίμ Μοντερχάι, ο οποίος συνελήφθη μετά από ρεπορτάζ που αποκάλυψε ότι βρήκε τα πτώματα ισραηλινών στρατιωτών να στοιβάζονται κατά δεκάδες μέσα σε κοντέινερ/ψυγεία σε προαύλιο νοσοκομείων στο Τελ Αβίβ.","[-0.01199077 -0.00939232 -0.01050207 ... -0.00090337 -0.01052914
 -0.02135602]",0
5,5,Βίντεο δείχνει τη στιγμή της επίθεσης στο κομβόι που συνόδευε τον Μαχμούντ Αμπάς.,"[-0.02355632 -0.01107029 -0.00358195 ... -0.01503567 -0.00724911
 -0.00554825]",0
6,6,Το Ευρωπαϊκό Δικαστήριο Ανθρωπίνων Δικαιωμάτων ακύρωσε την Συμφωνία των Πρεσπών μετά από προσφυγή Ελληνίδας πολίτη.,"[ 0.02238352 -0.01581304  0.0105786  ...  0.00289475  0.00187498
 -0.01941454]",0
7,7,Στο Ηνωμένο Βασίλειο ψηφίστηκαν νόμοι για κλιματικά lockdowns.,"[ 0.01397368 -0.01558455 -0.00310508 ...  0.01202401  0.00523214
 -0.01672239]",0
8,8,Το ρομπότ «Σοφία» μίλησε στον δημοσιογράφο Νάσο Γουμενίδη σε συνέντευξη της εκπομπής «Επί Τόπου» ,"[-0.00180897 -0.00783299  0.00316369 ... -0.01089556 -0.01590996
 -0.01946691]",0
9,9,"Δικαστήριο στο Ιράν καταδίκασε τον Cristiano Ronaldo σε 99 μαστιγώματα για το αδίκημα της μοιχείας με ανύπαντρη Ιρανή καλλιτέχνιδα.
","[ 0.01295282  0.01141902 -0.00281414 ... -0.00998921 -0.02004341
 -0.01245239]",0
10,10,"Βίντεο δείχνει εκκένωση αεροπορικής βάσης κοντά στη Λωρίδα της Γάζας, λόγω της εισβολής της Χαμάς στο Ισραήλ στις 7 Οκτωβρίου 2023. ","[-0.00435063 -0.02255396 -0.01827851 ...  0.00679234  0.01655264
 -0.03030729]",0
11,11,"Σύμφωνα με βίντεο, μια διαφημιστική πινακίδα στη Νέα Υόρκη υποδέχτηκε τον Βολοντίμιρ Ζελένσκι με το μήνυμα ""Δόξα στα ούρα"" (Glory to Urine) αντί για ""Δόξα στην Ουκρανία"" (Glory to Ukraine), κατά την επίσκεψή του στη Νέα Υόρκη.","[ 0.00152129 -0.00478217  0.00198809 ... -0.02118392  0.00521202
 -0.02820941]",0
12,12,Η βιοχημικός της φαρμακευτικής εταιρείας Moderna Melissa J. Moore συνελήφθη από ερευνητές του νομικού σώματος του Αμερικανικού Ναυτικού.,"[-0.01072877 -0.00086213 -0.00283084 ... -0.00511334 -0.01971345
 -0.01594781]",0
13,13,"Σύμφωνα με τον Παγκόσμιο Οργανισμό Υγείας, σύντομα θα απαιτηθούν μαζικοί εμβολιασμοί για την αντιμετώπιση των επιπτώσεων της κλιματικής αλλαγής, συμπεριλαμβανομένης της απειλής των ασθενειών που μεταδίδονται από τα κουνούπια που μεταναστεύουν σε νέες περιοχές.","[-0.0036751  -0.00344787  0.0094446  ... -0.005674   -0.01645231
 -0.0167421 ]",0
14,14,"Έρχονται μόνιμα κλιματικά λοκντάουν είτε σας αρέσει είτε όχι, είπε η Nicole Schwab, κόρη του, ιδρυτή του Παγκόσμιου Οικονομικού Φόρουμ, Klaus Schwab.","[ 0.01761057 -0.01524834 -0.00351349 ...  0.0030573   0.00462493
 -0.02447166]",0
15,15,Ο Πούτιν απαγόρευσε την εγκατάσταση νέων πύργων κινητής τηλεφωνίας 5G σε όλη τη χώρα και κατεδάφισε και αυτούς που είναι ήδη σε λειτουργία.,"[ 0.00975413 -0.00854135  0.00316004 ...  0.01192028 -0.00462738
 -0.00321679]",0
16,16,"O Μαρκ Γουόλμπεργκ είπε πως ""οι παιδόφιλοι του Χόλιγουντ δεν έχουν πού να κρυφτούν"".","[-0.00830141 -0.00629197  0.00392886 ... -0.00773555 -0.00903445
 -0.0011269 ]",0
17,17,"Σύμφωνα με τον Κυριάκο Βελόπουλο, ""ο Ισραηλινός δημοσιογράφος και συγγραφέας Γκίντεον Λεβί αποκάλυψε την είδηση"" της προσφορά της Ρωσίας τεσσάρων πυροσβεστικών Iluyshin Il-76, τα οποία η ελληνική Κυβέρνηση αρνήθηκε.","[ 0.01357764 -0.01212619 -0.0027528  ... -0.00088489  0.00994902
 -0.03050681]",0
18,18,"Σύμφωνα με τον Κυριάκο Βελόπουλο, όλα τα επίσημα ενημερωτικά σάιτ και κανάλια και ραδιόφωνα της Κύπρου λένε ότι συνελήφθησαν 5 Αφγανοί για τις φωτιές στη Ρόδο. ","[ 0.00811615 -0.01359933 -0.0048743  ...  0.00878756 -0.01002506
 -0.00780678]",0
19,19,"Ο Πούτιν επικοινώνησε με την Ελληνική κυβέρνηση και εξεδήλωσε το ενδιαφέρον του να βοηθήσει στις φωτιές στέλνοντας 4 αεροσκάφη Ilyushin Il-76, αλλά η Ελληνική Κυβέρνηση αρνήθηκε.","[-0.00683901 -0.0125843  -0.00745665 ...  0.02211902  0.00125457
 -0.03090744]",0
20,20,"Ο 21χρονος Γεράσιμος, μοναδικός επιζών του πρώτου βαγονιού, πέθανε.","[-0.00227246 -0.00987856  0.01378344 ...  0.00672363 -0.0060642
  0.00439299]",0
21,21,"Σύμφωνα με βίντεο, στη Γαλλία, διαδηλωτές απελευθέρωσαν άγρια ζώα από ζωολογικό κήπο.
","[ 0.00588424 -0.01631824 -0.00378485 ... -0.00890086 -0.01029162
 -0.00775514]",0
22,22,Ο Ρώσος πρόεδρος Βλαντιμίρ Πούτιν ανακοίνωσε επίσημα τον χημικό ευνουχισμό όλων των παιδεραστών στη Ρωσία και την εκτέλεση των ενόχων για ειδεχθείς πράξεις κακοποίησης παιδιών.,"[ 0.00391165 -0.02039037 -0.00938272 ...  0.00743017  0.00699772
 -0.01521415]",0
23,23,"Ο Κιρίλο Μπουντάνοφ, επικεφαλής των μυστικών υπηρεσιών της Ουκρανίας, τραυματίστηκε σοβαρά / νοσηλεύεται σε στρατιωτικό νοσοκομείο στο Βερολίνο / είναι νεκρός ύστερα από ρωσικό πλήγμα στα κεντρικά της GUR.",[0.00071498 0.00635646 0.00925005 ... 0.00866393 0.00134153 0.0004497 ],0
24,24,"Η Pfizer κατέθεσε 10 εκατομμύρια δολάρια στον λογαριασμό του παρουσιαστή του CNN, Άντερσον Κούπερ, για να προωθήσει τα εμβόλια για τον COVID-19.","[ 5.36622666e-03 -2.21453141e-03  8.41481815e-05 ... -1.06233312e-02
 -1.26838088e-02 -8.28042161e-03]",0
25,25,Αυτά τα βίντεο έχουν ληφθεί εντός του σκάφους που βυθίστηκε στις 14 Ιουνίου 2023 ανοιχτά της Πύλου με τουλάχιστον 82 νεκρούς μετανάστες.,"[ 0.00484228 -0.01415386 -0.00981429 ... -0.00655475 -0.00760235
 -0.02410437]",0
26,26,"Η Ουκρανία έδωσε στον Elon Musk 72 ώρες για να διαγράψει τον λογαριασμό του Tucker Carlson στο Twitter. Σύμφωνα με ανακοίνωση του γραφείου του Προέδρου, ""εάν η απαίτηση δεν εκπληρωθεί, οι συνέπειες θα είναι οι πιο σοβαρές, τόσο για το Twitter όσο και προσωπικά για τον κ. Musk"".","[ 0.00892168 -0.00807791 -0.00113729 ...  0.02658189  0.01096241
 -0.00172514]",0
27,27,"Βίντεο δείχνει την Αψίδα του Θριάμβου στο Παρίσι στολισμένη με μια γιγάντια εγκατάσταση του ουράνιου τόξου, του συμβόλου της ΛΟΑΤΚΙ+ κοινότητας.","[-0.00456439  0.00904764 -0.02177384 ... -0.00381718 -0.02219308
 -0.04319604]",0
28,28,Η Chelsea Clinton ισχυρίζεται πως θα εμβολιάσει με mRNA εμβόλια κάθε παιδί στην Αμερική με το ζόρι.,"[-0.00996281 -0.00495233 -0.00308996 ... -0.00968499 -0.00394765
 -0.00945886]",0
29,29,"Το λιμενικό επέβαλε πρόστιμο χιλιάδων ευρώ σε επιχειρηματία στην Πάτρα, αφότου εντόπισε αγωγό μέσω του οποίου το κατάστημα έριχνε λύματα στη θάλασσα. Κατόπιν, ακολούθησε και αυτόφωρη διαδικασία για τον υπεύθυνο του καταστήματος.  Το περιστατικό σημειώθηκε στην περιοχή των Βραχναίικων.","[ 0.01649632 -0.00582699  0.0033114  ... -0.01405492 -0.01539027
 -0.02472425]",0
30,30,"Ερωτηθείς για τη μήνυση που κατέθεσαν οι συγγενείς των θυμάτων του σιδηροδρομικού δυστυχήματος στα Τέμπη για την απόδοση ευθυνών, ο Κυριάκος Μητσοτάκης τους κατηγόρησε σε τηλεοπτική συνέντευξη για εργαλειοποίηση του ζητήματος.","[ 0.00326611 -0.00383628 -0.00131501 ... -0.00695409 -0.02109296
 -0.0139609 ]",0
31,31,Tweet στον λογαριασμό του Ευάγγελου Αντώναρου αναφέρει ότι προτιμάει να γεμίσει η Ελλάδα από προοδευτικούς πακιστανούς με υπηκοότητα παρά να γεννήσουν οι Έλληνες φασίστες.,"[ 0.01095557 -0.00986002 -0.02613305 ...  0.00203747  0.00246333
 -0.02701484]",0
32,32,Σε βιβλίο Θρησκευτικών που διδάσκεται στο δημοτικό παρουσιάζουν την Παναγία ως «Γκέισα».,"[ 0.00415108  0.01186492  0.0017518  ... -0.00092274 -0.00076292
 -0.04409411]",0
33,33,Βίντεο απεικονίζει άνδρα ντυμένο ως χάρο στην τελετή στέψης του βασιλιά Καρόλου,"[-0.0048288  -0.01037297  0.00261477 ...  0.0034974  -0.0111877
 -0.00659074]",0
34,34,Το Παγκόσμιο Οικονομικό Φόρουμ δήλωσε ότι το νερό δεν είναι ανθρώπινο δικαίωμα και πρέπει να ελέγχεται από τις κυβερνήσεις,"[ 0.02332143 -0.01681253  0.00034349 ... -0.01166072 -0.0013579
 -0.01420125]",0
35,35,"Οι φωτογραφίες απεικονίζουν υπόγειες σήραγγες στην Ουκρανία, όπου κρατούνταν φυλακισμένα 10.000 παιδιά. Έπειτα από επιχείρηση διάσωσης, τα παιδιά απελευθερώθηκαν ενώ συνελήφθησαν 3.876 άτομα που τα διακινούσαν.  ","[ 0.00233127 -0.01929099 -0.02304239 ...  0.0011139  -0.00435549
 -0.00879109]",0
36,36,Ο ΕΟΦ παραδέχεται ότι τα εμβόλια κατά του covid-19 προκαλούν έντεκα αυτοάνοσα νοσήματα.,"[ 0.00359656 -0.02395985 -0.00232405 ... -0.00354817  0.02321151
 -0.01957302]",0
37,37,"Στο βίντεο απεικονίζεται μια γοργόνα Buru που αλιεύτηκε στον Ατλαντικό Ωκεανό ή ένα νεκρό διφυές πλάσμα, με ύψος τεσσάρων μέτρων, το οποίο ζούσε σε σήραγγες και τούνελ και θανατώθηκε από ειδικά εκπαιδευμένες στρατιωτικές δυνάμεις","[-0.00763567 -0.00586561 -0.01895199 ... -0.01658299 -0.01742619
 -0.018604  ]",0
38,38,"Ο ΟΗΕ ζητά την αποποινικοποίηση κάθε σεξουαλικής δραστηριότητας, συμπεριλαμβανομένης της παιδεραστίας","[-0.0053242  -0.00526464 -0.01137638 ...  0.00199203 -0.00415612
 -0.0268427 ]",0
39,39,"Επί της κυβέρνησης ΝΔ 2019-2023, δεν υπήρξε αύξηση των μετακλητών υπαλλήλων.","[ 0.00811134 -0.01925301  0.00720355 ... -0.00573084  0.00109882
 -0.01330339]",0
40,40,Ο Παγκόσμιος Οργανισμός Υγείας προτρέπει τους γονείς να μην κάνουν πλέον στα παιδιά τους το «επικίνδυνο εμβόλιο για τη COVID-19»,"[ 0.00438325  0.00277712 -0.01062218 ... -0.00722436 -0.0146023
 -0.02347118]",0
41,41,"Ρωσικός υπερηχητικός πύραυλος Kinzhal έπληξε μυστικό υπόγειο κέντρο διοίκησης του ΝΑΤΟ, σε βάθος 130 μέτρων, σκοτώνοντας 40 άτομα, ανάμεσά τους Αμερικανούς αξιωματικούς.","[ 0.00350649 -0.01100063  0.00408981 ...  0.00743482  0.00245685
 -0.00957035]",0
42,42,Στο Πεκίνο έβρεξε σκουλήκια.,"[ 0.01086705 -0.0066909   0.00254868 ...  0.00833938  0.0001803
 -0.00620605]",0
43,43,"Η ΕΕ επεξεργάζεται επί του παρόντος ένα σχέδιο νόμου που θα προβλέπει πρακτικά την απαλλοτρίωση παλαιότερων κτιρίων κατοικιών. Εάν δεν πληρούν τα νέα ευρωπαϊκά πρότυπα ενεργειακής απόδοσης, τότε τα κτίρια αυτά θα χάσουν την άδεια κατοίκησης το 2030.","[ 0.00476461 -0.00945708  0.00521057 ...  0.01580551 -0.00966694
 -0.01836325]",0
44,44,"Η μηχανή της εμπορικής αμαξοστοιχίας δε βρίσκεται στο μπροστινό μέρος, όπως θα έπρεπε, αλλά στο πίσω μέρος των βαγονιών, ώστε αυτά να πέσουν πάνω στο επιβατικό τρένο που ήταν πάνω στην ίδια σιδηροδρομική γραμμή. Φωτογραφία από το δυστύχημα στα Τέμπη δείχνει ότι η μηχανή της εμπορικής αμαξοστοιχίας είναι εξαφανισμένη.","[-0.0166054  -0.00727481 -0.01704308 ...  0.00129895 -0.01518625
 -0.0080507 ]",0
45,45,"Η φωτογραφία δείχνει ότι ένα από τα βαγόνια της εμπορικής αμαξοστοιχίας φέρει λογότυπο εταιρίας με χημικά, της OCCL.","[ 0.00411101 -0.00250206 -0.00921215 ...  0.009647   -0.00056823
 -0.02275943]",0
